Timestamp,11,12,13,14,21,22,23,24,25,26,27,28,29,210,211,212,213,214,215,31,32,33,34,35,36,37,38,39,310,311,312,41,42,43,44,45,46
2025/06/26 12:28:19 PM GMT+6,20-30,Male,Student,Single,2,2,1,1,2,3,2,1,1,5-7 times,Yes,Yes,Yes,No,1-3 Hours,2,1,1,2,2,1,No,Yes,Yes,No,No,No,No,Yes,Facebook,5-7 Hours,1,2
2025/06/26 12:30:22 PM GMT+6,20-30,Male,Employed,Single,2,2,1,2,1,2,2,2,1,8-10 times,No,Yes,No,No,0-1 Hours,2,1,2,2,2,1,No,Yes,Yes,No,No,No,Yes,No,Facebook;YouTube;LinkedIn,5-7 Hours,1,2
2025/06/26 12:30:49 PM GMT+6,20-30,Male,Student,Single,5,5,5,1,5,5,5,1,5,More than 10 times,Yes,Yes,Yes,No,More than  Hours,1,3,5,5,5,1,Yes,No,No,Yes,Yes,No,Yes,Yes,Facebook,5-7 Hours,1,5
2025/06/26 12:31:17 PM GMT+6,30-40,Female,Housewife,Married,3,2,1,1,3,3,2,1,1,1-4 times,Yes,No,Yes,No,4-6 Hours,3,3,3,3,4,3,No,No,No,Yes,No,No,Yes,,Facebook;YouTube,5-7 Hours,1,3
2025/06/26 12:31:53 PM GMT+6,20-30,Female,Student,In Relationship,2,1,2,3,1,2,2,1,1,1-4 times,No,Yes,Yes,No,0-1 Hours,2,1,3,1,1,1,No,Yes,Yes,No,No,No,No,Yes,Facebook;YouTube,7-9 Hours,2,3
2025/06/26 12:31:55 PM GMT+6,20-30,Male,Student,Single,2,2,2,2,3,2,3,1,2,8-10 times,Yes,Yes,Yes,No,0-1 Hours,2,2,2,2,2,1,No,Yes,Yes,No,No,No,No,Yes,Facebook,5-7 Hours,1,2
2025/06/26 12:32:23 PM GMT+6,20-30,Male,Student,In Relationship,3,2,2,2,2,1,2,4,1,1-4 times,Yes,No,Yes,No,1-3 Hours,2,2,2,2,2,2,No,Yes,Yes,No,No,No,No,Yes,Facebook;YouTube,5-7 Hours,1,3
2025/06/26 12:32:28 PM GMT+6,20-30,Male,Student,In Relationship,4,3,1,3,3,5,4,1,1,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,3,3,4,1,4,No,Yes,Yes,Yes,No,No,No,Yes,YouTube,7-9 Hours,1,4
2025/06/26 12:34:17 PM GMT+6,20-30,Male,Student,Single,3,2,2,1,3,3,3,1,1,8-10 times,No,Yes,Yes,No,1-3 Hours,2,3,2,2,4,1,No,Yes,No,No,No,No,No,Yes,Facebook;YouTube;LinkedIn,5-7 Hours,1,2
2025/06/26 12:35:11 PM GMT+6,30-40,Male,Employed,Married,3,2,1,1,5,2,3,1,4,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,4,1,1,2,3,2,Yes,No,No,Yes,No,No,Yes,No,Facebook;YouTube,5-7 Hours,1,2
2025/06/26 12:37:03 PM GMT+6,20-30,Male,Employed,Married,5,5,5,2,3,5,5,4,3,More than 10 times,Yes,Yes,Yes,Yes,More than  Hours,1,1,1,1,5,2,No,Yes,Yes,No,No,No,Yes,No,Facebook;YouTube;,7-9 Hours,1,1
2025/06/26 12:37:34 PM GMT+6,20-30,Male,Employed,Single,5,5,3,2,4,5,5,5,5,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,3,3,3,3,3,3,Yes,Yes,No,Yes,No,No,Yes,,Facebook;YouTube,5-7 Hours,2,2
2025/06/26 12:37:40 PM GMT+6,30-40,Female,Employed,Married,3,1,5,5,3,3,3,1,5,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,1,1,1,3,1,2,No,No,Yes,No,Yes,No,No,No,Facebook,1-3 Hours,1,1
2025/06/26 12:38:08 PM GMT+6,20-30,Male,Student,Single,5,4,2,2,5,5,4,1,1,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,3,2,3,4,5,4,Yes,No,Yes,Yes,No,No,No,Yes,Facebook;Instagram;YouTube;LinkedIn,3-5 Hours,3,5
2025/06/26 12:38:15 PM GMT+6,20-30,Male,Student,Single,5,5,3,1,2,5,5,5,1,1-4 times,Yes,Yes,Yes,No,1-3 Hours,5,3,2,5,5,5,Yes,Yes,No,Yes,Yes,No,No,Yes,YouTube,3-5 Hours,5,5
2025/06/26 12:38:58 PM GMT+6,20-30,Male,Student,Single,5,3,4,2,5,5,4,5,3,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,4,4,4,5,3,2,Yes,Yes,No,Yes,Yes,No,No,Yes,Facebook;Instagram;YouTube,5-7 Hours,3,3
2025/06/26 12:39:54 PM GMT+6,20-30,Male,Student,In Relationship,5,5,5,5,1,3,3,1,1,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,2,2,3,3,3,3,No,No,No,Yes,No,No,No,Yes,Instagram,5-7 Hours,2,2
2025/06/26 12:40:42 PM GMT+6,20-30,Male,Business ,Married,3,1,1,2,2,3,2,1,2,More than 10 times,Yes,No,No,No,1-3 Hours,2,2,2,2,2,1,No,Yes,Yes,No,No,No,No,Yes,Facebook;YouTube,7-9 Hours,1,2
2025/06/26 12:41:49 PM GMT+6,20-30,Male,Student,Single,5,5,1,5,5,5,5,5,1,5-7 times,Yes,Yes,Yes,Yes,More than  Hours,3,3,1,2,5,3,No,No,Yes,No,No,No,No,Yes,Facebook;YouTube,5-7 Hours,3,2
2025/06/26 12:42:51 PM GMT+6,20-30,Male,Student,In Relationship,5,2,5,3,5,5,5,5,3,More than 10 times,Yes,Yes,Yes,No,7-9 Hours,5,5,5,5,5,5,Yes,No,No,Yes,Yes,No,Yes,Yes,Facebook;Instagram;YouTube,5-7 Hours,2,3
2025/06/26 12:44:20 PM GMT+6,20-30,Male,Student,Single,3,2,1,1,2,3,5,5,2,More than 10 times,Yes,Yes,Yes,Yes,1-3 Hours,2,2,3,4,1,3,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Facebook;YouTube;LinkedIn,3-5 Hours,3,2
2025/06/26 12:44:39 PM GMT+6,20-30,Male,Employed,Married,5,4,2,2,2,3,5,1,1,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,2,2,2,2,2,2,No,No,Yes,Yes,Yes,No,Yes,No,Facebook;Instagram,5-7 Hours,2,2
2025/06/26 12:45:42 PM GMT+6,20-30,Male,Student,Single,5,4,3,4,4,5,4,4,3,More than 10 times,Yes,Yes,Yes,No,4-6 Hours,4,3,2,5,1,2,No,Yes,Yes,No,No,No,Yes,Yes,Facebook;Instagram;YouTube,5-7 Hours,1,3
2025/06/26 12:46:10 PM GMT+6,20-30,Male,Student,Single,3,1,1,1,2,2,2,3,1,5-7 times,Yes,Yes,No,No,1-3 Hours,3,4,1,2,1,2,No,Yes,Yes,No,No,No,No,No,Facebook;Instagram;YouTube;LinkedIn,5-7 Hours,2,3
2025/06/26 12:47:01 PM GMT+6,30-40,Male,Self-employed,Married,1,1,1,1,1,1,1,1,1,1-4 times,No,No,Yes,No,0-1 Hours,1,1,1,1,1,1,No,Yes,Yes,No,Yes,No,No,No,Facebook;YouTube,7-9 Hours,1,1
2025/06/26 12:48:23 PM GMT+6,20-30,Female,Student,Single,3,2,1,3,2,5,2,1,1,More than 10 times,Yes,Yes,Yes,Yes,4-6 Hours,5,5,5,3,5,1,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Facebook,3-5 Hours,2,3
2025/06/26 12:48:24 PM GMT+6,20-30,Male,Student,Single,3,1,1,3,2,3,2,3,4,8-10 times,Yes,Yes,No,No,1-3 Hours,4,1,3,4,4,1,Yes,Yes,No,Yes,Yes,No,No,Yes,Facebook;Instagram;YouTube;LinkedIn;Snapchat,5-7 Hours,2,4
